event_id,source_feature_number,report_feature_number,feat_type,coverage_code,geometry_type,full_area_km2,in_domain_area_km2,in_domain_fraction,out_of_domain_fraction,current_fraction,in_domain_denominator_fraction,fraction_difference,current_category,candidate_category,min_lon,min_lat,max_lon,max_lat,artifact_method
20260324_13Z_F04,1,1,AREA,3,Polygon,21430.590900781906,21430.590900781906,1.0,0.0,0.0,0.0,0.0,Overforecasted,Overforecasted,-81.7,29.2,-79.2,30.7,legacy independent-max frozen truth
20260403_21Z_F04,1,1,AREA,3,Polygon,17238.899441262445,17238.89944126245,1.0,0.0,0.0,0.0,0.0,Overforecasted,Overforecasted,-83.4,28.8,-82.3,30.7,legacy independent-max frozen truth
20260403_21Z_F04,2,5,AREA,2,Polygon,62090.06292273419,62090.06292273418,0.9999999999999998,2.220446049250313e-16,0.0,0.0,0.0,Overforecasted,Overforecasted,-98.8,34.6,-93.7,39.6,legacy independent-max frozen truth
20260403_21Z_F04,3,2,AREA,3,Polygon,44911.61595465938,44911.61595465938,1.0,0.0,0.40834089193700784,0.40834089193700784,0.0,Verified Close,Verified Close,-91.5,38.9,-87.6,41.4,legacy independent-max frozen truth
20260403_21Z_F04,4,3,AREA,3,Polygon,81188.77411114298,81188.77411114298,1.0,0.0,0.7206270320271837,0.7206270320271837,0.0,Verified Well,Verified Well,-94.5,40.0,-90.1,44.3,legacy independent-max frozen truth
20260403_21Z_F04,5,6,AREA,3,Polygon,178345.291399847,178345.291399847,1.0,0.0,0.25917103850122736,0.25917103850122736,0.0,Verified Close,Verified Close,-100.4,34.0,-93.4,40.0,legacy independent-max frozen truth
20260403_21Z_F04,6,7,AREA,3,Polygon,42139.292859475216,41738.4375468245,0.9904873744799784,0.009512625520021634,0.0,0.0,0.0,Overforecasted,Overforecasted,-103.1,29.7,-100.0,32.1,legacy independent-max frozen truth
20260403_21Z_F04,7,4,LINE,1,Polygon,16164.924542202354,16164.924542202363,1.0,0.0,0.0,0.0,0.0,Overforecasted,Overforecasted,-97.94987700280078,35.05012299719923,-94.15000746151723,39.049992538482755,legacy independent-max frozen truth
20260524_13Z_F04,1,5,AREA,3,Polygon,15260.373044895985,15260.373044895987,1.0,0.0,0.46338490562498713,0.46338490562498713,0.0,Verified Close,Verified Close,-87.3,33.0,-85.7,34.3,legacy independent-max frozen truth
20260524_13Z_F04,2,4,AREA,3,Polygon,13832.917660720037,13832.917660720039,1.0,0.0,0.06282626539999075,0.06282626539999075,0.0,Overforecasted,Overforecasted,-87.1,31.0,-85.7,32.6,legacy independent-max frozen truth
