event_id,feature,feat_type,coverage_code,verification_category,interior_available_cell_count,valid_cell_count,minimum,median,mean,p75,p90,p95,maximum,current_reported_echo_top_kft,current_small_sample_result_kft,artifact_method
20260324_13Z_F04,1,AREA,3,Overforecasted,809,20,26.246719360351562,32.80839920043945,32.84940958023071,39.370079040527344,39.370079040527344,39.370079040527344,39.370079040527344,39.370079040527344,39.370079040527344,legacy independent temporal-max max_tops/max_refl
20260403_21Z_F04,1,AREA,3,Overforecasted,644,21,26.246719360351562,27.88713836669922,29.624422164190385,30.465879440307617,36.08924102783203,36.08924102783203,36.08924102783203,36.08924102783203,36.08924102783203,legacy independent temporal-max max_tops/max_refl
20260403_21Z_F04,2,AREA,2,Overforecasted,2523,303,25.308399200439453,45.931758880615234,43.79537999118515,49.39468574523926,52.493438720703125,55.77427673339844,59.055118560791016,52.493438720703125,52.493438720703125,legacy independent temporal-max max_tops/max_refl
20260403_21Z_F04,3,AREA,3,Verified Close,1907,265,25.114830017089844,37.214569091796875,38.14964377205327,43.30708694458008,48.61876678466797,49.21260070800781,52.493438720703125,48.61876678466797,48.61876678466797,legacy independent temporal-max max_tops/max_refl
20260403_21Z_F04,4,AREA,3,Verified Well,3566,893,25.01640510559082,36.08924102783203,37.2656095212144,42.650917053222656,45.931758880615234,49.21260070800781,55.77427673339844,45.931758880615234,45.931758880615234,legacy independent temporal-max max_tops/max_refl
20260403_21Z_F04,5,AREA,3,Verified Close,7177,565,25.01640510559082,41.29921340942383,40.9715413591503,49.21260070800781,52.493438720703125,52.493438720703125,59.055118560791016,52.493438720703125,52.493438720703125,legacy independent temporal-max max_tops/max_refl
20260403_21Z_F04,6,AREA,3,Overforecasted,1589,0,,,,,,,,,,legacy independent temporal-max max_tops/max_refl
20260403_21Z_F04,7,LINE,1,Overforecasted,653,26,29.527559280395508,39.340553283691406,40.28126995380108,45.931758880615234,47.61319160461426,48.95997619628906,49.21260070800781,47.613189697265625,47.61319160461426,legacy independent temporal-max max_tops/max_refl
20260524_13Z_F04,1,AREA,3,Verified Close,599,74,25.154199600219727,27.88713836669922,28.636412001944876,29.527559280395508,32.80839920043945,32.80839920043945,34.681758880615234,32.80839920043945,32.80839920043945,legacy independent temporal-max max_tops/max_refl
20260524_13Z_F04,2,AREA,3,Overforecasted,524,9,26.246719360351562,28.799211502075195,28.475503073798286,29.527559280395508,29.833334350585936,29.979003143310546,30.124671936035156,29.83333396911621,29.833334350585936,legacy independent temporal-max max_tops/max_refl
20260524_13Z_F04,3,AREA,3,Overforecasted,1267,89,25.698820114135742,38.277557373046875,39.507874499546006,45.46260070800781,52.493438720703125,55.77427673339844,59.055118560791016,52.493438720703125,52.493438720703125,legacy independent temporal-max max_tops/max_refl
20260524_13Z_F04,4,AREA,3,Overforecasted,852,6,30.124671936035156,34.44882011413574,33.7828098932902,36.08924102783203,36.08924102783203,36.08924102783203,36.08924102783203,36.08924102783203,36.08924102783203,legacy independent temporal-max max_tops/max_refl
20260524_13Z_F04,5,AREA,3,Overforecasted,769,17,26.246719360351562,32.80839920043945,32.83599741318647,36.08924102783203,36.08924102783203,36.08924102783203,36.08924102783203,36.08924102783203,36.08924102783203,legacy independent temporal-max max_tops/max_refl
20260524_13Z_F04,6,AREA,3,Overforecasted,1986,136,31.167980194091797,39.370079040527344,40.590816876467535,42.650917053222656,50.85301971435547,53.60072326660156,62.335960388183594,50.85301971435547,50.85301971435547,legacy independent temporal-max max_tops/max_refl
20260524_19Z_F04,1,AREA,3,Overforecasted,443,0,,,,,,,,,,legacy independent temporal-max max_tops/max_refl
20260524_19Z_F04,2,AREA,3,Overforecasted,683,0,,,,,,,,,,legacy independent temporal-max max_tops/max_refl
20260524_19Z_F04,3,AREA,3,Overforecasted,283,0,,,,,,,,,,legacy independent temporal-max max_tops/max_refl
20260524_19Z_F04,4,AREA,3,Verified Well,1016,191,25.154199600219727,39.370079040527344,39.483843678579284,44.975393295288086,49.21260070800781,49.21260070800781,55.66600799560547,49.21260070800781,49.21260070800781,legacy independent temporal-max max_tops/max_refl
20260524_19Z_F04,5,AREA,3,Overforecasted,785,8,30.620079040527344,38.549869537353516,37.1998028755188,40.19028854370117,42.650917053222656,42.650917053222656,42.650917053222656,42.650917053222656,42.650917053222656,legacy independent temporal-max max_tops/max_refl
20260524_19Z_F04,6,AREA,3,Overforecasted,356,0,,,,,,,,,,legacy independent temporal-max max_tops/max_refl
20260524_19Z_F04,7,AREA,3,Overforecasted,842,0,,,,,,,,,,legacy independent temporal-max max_tops/max_refl
20260524_19Z_F04,8,AREA,3,Verified Well,1038,156,25.974409103393555,31.988189697265625,32.93422793119382,35.105807304382324,39.370079040527344,42.19652271270752,46.400917053222656,39.370079040527344,39.370079040527344,legacy independent temporal-max max_tops/max_refl
