minimum_area_km2,capture_threshold,eligible_components,total_misses,misses_20260324_13Z_F04,misses_20260403_21Z_F04,misses_20260524_13Z_F04,misses_20260524_19Z_F04,misses_20260524_19Z_F06,misses_20260728_19Z_F04,artifact_method
0,0.0,76,0,0,0,0,0,0,0,legacy independent-max frozen truth
0,0.1,76,42,0,9,9,13,2,9,legacy independent-max frozen truth
0,0.2,76,43,0,9,10,13,2,9,legacy independent-max frozen truth
0,0.3,76,46,0,9,10,14,4,9,legacy independent-max frozen truth
0,0.4,76,48,0,9,11,14,4,10,legacy independent-max frozen truth
0,0.5,76,51,0,9,12,16,4,10,legacy independent-max frozen truth
0,0.75,76,61,0,11,13,18,7,12,legacy independent-max frozen truth
0,1.0,76,72,0,13,14,20,7,18,legacy independent-max frozen truth
5000,0.0,46,0,0,0,0,0,0,0,legacy independent-max frozen truth
5000,0.1,46,17,0,5,4,2,2,4,legacy independent-max frozen truth
5000,0.2,46,18,0,5,5,2,2,4,legacy independent-max frozen truth
5000,0.3,46,21,0,5,5,3,4,4,legacy independent-max frozen truth
5000,0.4,46,22,0,5,6,3,4,4,legacy independent-max frozen truth
5000,0.5,46,25,0,5,7,5,4,4,legacy independent-max frozen truth
5000,0.75,46,34,0,7,7,7,7,6,legacy independent-max frozen truth
5000,1.0,46,43,0,8,8,8,7,12,legacy independent-max frozen truth
10000,0.0,32,0,0,0,0,0,0,0,legacy independent-max frozen truth
10000,0.1,32,8,0,1,3,1,2,1,legacy independent-max frozen truth
10000,0.2,32,9,0,1,4,1,2,1,legacy independent-max frozen truth
10000,0.3,32,12,0,1,4,2,4,1,legacy independent-max frozen truth
10000,0.4,32,12,0,1,4,2,4,1,legacy independent-max frozen truth
10000,0.5,32,15,0,1,5,4,4,1,legacy independent-max frozen truth
10000,0.75,32,23,0,3,5,6,7,2,legacy independent-max frozen truth
10000,1.0,32,29,0,4,5,7,7,6,legacy independent-max frozen truth
15000,0.0,28,0,0,0,0,0,0,0,legacy independent-max frozen truth
15000,0.1,28,7,0,1,3,1,2,0,legacy independent-max frozen truth
15000,0.2,28,7,0,1,3,1,2,0,legacy independent-max frozen truth
15000,0.3,28,9,0,1,3,2,3,0,legacy independent-max frozen truth
15000,0.4,28,9,0,1,3,2,3,0,legacy independent-max frozen truth
15000,0.5,28,12,0,1,4,4,3,0,legacy independent-max frozen truth
15000,0.75,28,20,0,3,4,6,6,1,legacy independent-max frozen truth
15000,1.0,28,26,0,4,4,7,6,5,legacy independent-max frozen truth
20000,0.0,20,0,0,0,0,0,0,0,legacy independent-max frozen truth
20000,0.1,20,2,0,0,1,0,1,0,legacy independent-max frozen truth
20000,0.2,20,2,0,0,1,0,1,0,legacy independent-max frozen truth
20000,0.3,20,3,0,0,1,0,2,0,legacy independent-max frozen truth
20000,0.4,20,3,0,0,1,0,2,0,legacy independent-max frozen truth
20000,0.5,20,5,0,0,1,2,2,0,legacy independent-max frozen truth
20000,0.75,20,13,0,2,1,4,5,1,legacy independent-max frozen truth
20000,1.0,20,19,0,3,1,5,5,5,legacy independent-max frozen truth
25000,0.0,13,0,0,0,0,0,0,0,legacy independent-max frozen truth
25000,0.1,13,0,0,0,0,0,0,0,legacy independent-max frozen truth
25000,0.2,13,0,0,0,0,0,0,0,legacy independent-max frozen truth
25000,0.3,13,0,0,0,0,0,0,0,legacy independent-max frozen truth
25000,0.4,13,0,0,0,0,0,0,0,legacy independent-max frozen truth
25000,0.5,13,1,0,0,0,1,0,0,legacy independent-max frozen truth
25000,0.75,13,9,0,2,0,3,3,1,legacy independent-max frozen truth
25000,1.0,13,13,0,3,0,3,3,4,legacy independent-max frozen truth
