event_id,valid_time,nominal_time,nominal_offset_min,reflectivity_actual_time,echo_top_actual_time,reflectivity_nominal_offset_sec,echo_top_nominal_offset_sec,pair_separation_sec,usable_pair,unique_pair_id,exclusion_reason,grid_compatible,evidence_status
20260324_13Z_F04,2026-03-24T17:00:00,2026-03-24T16:46:00,-14,,,,,,,,,,nominal_schedule_only_actual_provenance_not_committed
20260324_13Z_F04,2026-03-24T17:00:00,2026-03-24T16:48:00,-12,,,,,,,,,,nominal_schedule_only_actual_provenance_not_committed
20260324_13Z_F04,2026-03-24T17:00:00,2026-03-24T16:50:00,-10,,,,,,,,,,nominal_schedule_only_actual_provenance_not_committed
20260324_13Z_F04,2026-03-24T17:00:00,2026-03-24T16:52:00,-8,,,,,,,,,,nominal_schedule_only_actual_provenance_not_committed
20260324_13Z_F04,2026-03-24T17:00:00,2026-03-24T16:54:00,-6,,,,,,,,,,nominal_schedule_only_actual_provenance_not_committed
20260324_13Z_F04,2026-03-24T17:00:00,2026-03-24T16:56:00,-4,,,,,,,,,,nominal_schedule_only_actual_provenance_not_committed
20260324_13Z_F04,2026-03-24T17:00:00,2026-03-24T16:58:00,-2,,,,,,,,,,nominal_schedule_only_actual_provenance_not_committed
20260324_13Z_F04,2026-03-24T17:00:00,2026-03-24T17:00:00,0,,,,,,,,,,nominal_schedule_only_actual_provenance_not_committed
20260324_13Z_F04,2026-03-24T17:00:00,2026-03-24T17:02:00,2,,,,,,,,,,nominal_schedule_only_actual_provenance_not_committed
20260324_13Z_F04,2026-03-24T17:00:00,2026-03-24T17:04:00,4,,,,,,,,,,nominal_schedule_only_actual_provenance_not_committed
20260324_13Z_F04,2026-03-24T17:00:00,2026-03-24T17:06:00,6,,,,,,,,,,nominal_schedule_only_actual_provenance_not_committed
20260324_13Z_F04,2026-03-24T17:00:00,2026-03-24T17:08:00,8,,,,,,,,,,nominal_schedule_only_actual_provenance_not_committed
20260324_13Z_F04,2026-03-24T17:00:00,2026-03-24T17:10:00,10,,,,,,,,,,nominal_schedule_only_actual_provenance_not_committed
20260324_13Z_F04,2026-03-24T17:00:00,2026-03-24T17:12:00,12,,,,,,,,,,nominal_schedule_only_actual_provenance_not_committed
20260324_13Z_F04,2026-03-24T17:00:00,2026-03-24T17:14:00,14,,,,,,,,,,nominal_schedule_only_actual_provenance_not_committed
20260403_21Z_F04,2026-04-04T01:00:00,2026-04-04T00:46:00,-14,,,,,,,,,,nominal_schedule_only_actual_provenance_not_committed
20260403_21Z_F04,2026-04-04T01:00:00,2026-04-04T00:48:00,-12,,,,,,,,,,nominal_schedule_only_actual_provenance_not_committed
20260403_21Z_F04,2026-04-04T01:00:00,2026-04-04T00:50:00,-10,,,,,,,,,,nominal_schedule_only_actual_provenance_not_committed
20260403_21Z_F04,2026-04-04T01:00:00,2026-04-04T00:52:00,-8,,,,,,,,,,nominal_schedule_only_actual_provenance_not_committed
20260403_21Z_F04,2026-04-04T01:00:00,2026-04-04T00:54:00,-6,,,,,,,,,,nominal_schedule_only_actual_provenance_not_committed
20260403_21Z_F04,2026-04-04T01:00:00,2026-04-04T00:56:00,-4,,,,,,,,,,nominal_schedule_only_actual_provenance_not_committed
